,Nom,TrustScore,Reviews,Emplacement,infos,score_5_etoile
0,Evergreen Credit Union,4.9,340 reviews,"Portland, United States",Financial Institution·Credit Union·ATM,96%
1,Liberty First Credit Union,4.7,304 reviews,"Lincoln, United States",ATM·Car Finance and Loan Company·Mortgage Lender,92%
2,GoHenry by Acorns,4.3,"3,300 reviews","Irvine, United States",Educational Institution·Alternative Financial Service,66%
3,Crypto Dispensers,4.1,214 reviews,"Chicago, United States",Money Transfer Service·Non-Bank Financial Service,64%
4,Anytime Capital,4.5,19 reviews,"Atlanta, United States",Bank·Currency Exchange Service·Cryptocurrency Service,95%
5,Swadesh,4.4,10 reviews,"San Francisco, United States",Financial Institution·ATM·Bank·Money Transfer Service,100%
6,VapeTM,4.1,5 reviews,"Cleveland, United States",Vending Machine Supplier·Electronics Vending Machine,100%
7,The Payment HQ,4.0,4 reviews,"San Diego , United States",Business to Business Service·Payroll Service·Payment Service,100%
8,Meriwest Credit Union,3.8,9 reviews,"San Jose, United States",Debt Relief Service·ATM·Credit Counseling Service,67%
9,Coinhub Bitcoin ATM,3.7,8 reviews,"Las Vegas, United States",ATM·Cryptocurrency Service·Currency Exchange Service,37%
10,ATM Together,3.7,1 review,"San Diego, United States",ATM,100%
11,ASDFTEST,3.7,1 review,NA,ATM,100%
12,WPC Merchant Services & Credit Card Processing,3.7,1 review,"Roxbury, United States",ATM·Business to Business Service,100%
13,cryptobaseatm.com,3.2,3 reviews,NA,ATM·Cryptocurrency Service,67%
14,Heritage Valley Federal Credit Union,2.9,12 reviews,NA,Bank·Credit Union·Federal Credit Union·ATM·,76%
15,Cash Express,2.7,21 reviews,"Cookeville, United States",Alternative Financial Service·Non-Bank Financial Service,33%
16,PNC Bank,1.3,"1,251 reviews","Pittsburgh, United States",ATM·Bank,5%
17,Nationwide Payment Systems,NA,NA,"Fort Lauderdale, United States",Eftpos Equipment Supplier·Payment Service·Card Processing Service,0%
18,Liberty Bank for Savings,NA,NA,"Chicago, United States",Bank·Mortgage Lender·ATM·Insurance Agency·Financial Institution,0%
19,ATMDepot.com,NA,NA,"Carlsbad, United States",Business to Business Service·ATM,0%
20,Covault,NA,NA,NA,···Cryptocurrency Service···ATM,0%
21,Kryptominerstech,NA,NA,"Laredo, United States",···········ATM···Cryptocurrency Service···Business Center···Gold Mining Company····,
22,Acme ATM,NA,NA,"Dania Beach, United States",·ATM,
23,Vertexatm,NA,NA,NA,·ATM,
24,Covault,NA,NA,NA,,
